client_number;entity_number;is_first
389;4;True
486;5;True
583;6;True
971;8;True
1359;15;True
1456;14;True
1844;19;True
1165;12;True
2135;22;True
2329;25;True
2717;31;True
2911;34;True
3105;37;True
3105;38;False
3202;39;True
3396;40;True
3590;44;True
3590;45;False
3784;50;True
3881;51;True
4075;53;True
4366;57;True
4463;59;True
4754;64;True
4948;70;True
5045;71;True
5142;72;True
5433;77;True
5724;80;True
5821;111;True
5821;82;False
6015;84;True
6306;88;True
6306;89;False
6694;95;True
6694;96;False
6791;97;True
6985;99;True
7179;102;True
7276;101;True
7276;103;False
7470;105;True
7567;107;True
7567;111;False
7664;112;True
7761;113;True
8246;126;True
8440;128;True
8537;129;True
8537;130;False
8634;518;True
8731;132;True
9119;139;True
9313;141;True
9798;351;True
10089;150;True
10380;158;True
10477;160;True
10574;161;True
10574;162;False
10671;163;True
11350;174;True
11447;175;True
11447;176;False
11544;177;True
11738;179;True
11835;180;True
11835;100;False
11835;110;False
11932;183;True
11156;172;True
11156;185;False
12223;187;True
12223;188;False
12320;189;True
12417;190;True
12708;33;True
12902;200;True
12902;201;False
13096;202;True
13096;203;False
13387;208;True
13484;209;True
13581;210;True
13678;211;True
13775;213;True
13872;212;True
13969;2575;True
14066;215;True
14163;216;True
14163;217;False
14260;153;True
14260;218;False
14357;219;True
14454;220;True
14551;221;True
14551;222;False
14842;225;True
14842;226;False
14939;227;True
15036;228;True
15036;229;False
15133;230;True
15230;231;True
15327;232;True
15424;233;True
15521;234;True
15521;235;False
15715;240;True
15812;241;True
15909;242;True
15909;243;False
16103;245;True
16103;246;False
16297;247;True
16394;248;True
16491;249;True
16588;250;True
16685;251;True
16782;252;True
17073;255;True
17073;262;False
17461;264;True
17461;265;False
17558;266;True
17558;267;False
17849;153;True
17849;33;False
18043;271;True
18334;277;True
18431;278;True
18528;279;True
18528;280;False
18625;283;True
18722;281;True
18722;282;False
18819;284;True
19110;286;True
19110;288;False
19304;266;True
19304;267;False
19498;290;True
19498;291;False
19498;292;False
19886;297;True
19983;298;True
20080;300;True
20177;302;True
20371;304;True
20468;305;True
20565;306;True
20662;307;True
12126;186;True
12126;312;False
20953;313;True
21244;317;True
21341;318;True
21438;319;True
21438;317;False
21826;324;True
22020;613;True
22020;331;False
22408;342;True
22408;343;False
22505;344;True
22602;345;True
22990;353;True
23087;354;True
23184;355;True
23184;356;False
23572;365;True
23669;67;True
23669;366;False
24057;371;True
24057;372;False
24154;373;True
24348;377;True
24445;376;True
24445;378;False
24542;379;True
24639;380;True
24833;385;True
24833;69;False
24251;374;True
24251;381;False
24251;382;False
24930;386;True
24930;387;False
25124;390;True
25221;391;True
25318;392;True
25415;393;True
25512;394;True
25609;395;True
25706;396;True
25706;397;False
25803;66;True
26191;401;True
26288;402;True
26288;403;False
26385;404;True
26385;405;False
26482;406;True
26579;407;True
26579;408;False
26773;411;True
26967;414;True
26967;415;False
27064;416;True
27064;417;False
27258;419;True
27355;420;True
27937;428;True
28131;430;True
28519;435;True
28228;431;True
28616;436;True
28810;438;True
29004;441;True
29392;445;True
29489;446;True
29489;447;False
29586;448;True
29780;450;True
29780;451;False
29683;449;True
29877;453;True
29877;694;False
29974;455;True
30265;458;True
30265;459;False
30459;462;True
30750;465;True
30750;466;False
30750;143;False
30847;467;True
30847;468;False
30944;469;True
30944;470;False
31041;471;True
31041;472;False
31235;476;True
31332;475;True
31429;477;True
31526;478;True
31526;479;False
31623;480;True
31817;482;True
31914;483;True
32011;484;True
32108;485;True
32108;486;False
32302;489;True
32496;490;True
32496;492;False
32496;428;False
32593;493;True
32690;495;True
32787;494;True
32884;496;True
32981;497;True
32981;498;False
33175;500;True
33369;504;True
33466;505;True
33563;506;True
33660;507;True
33660;508;False
33757;507;True
33854;509;True
33951;154;True
33951;510;False
34048;511;True
34145;512;True
34242;513;True
34339;514;True
34339;515;False
34436;516;True
34533;517;True
34533;518;False
34533;480;False
34630;519;True
34630;520;False
34727;521;True
34824;522;True
26094;208;True
26094;524;False
35115;526;True
35115;527;False
35212;528;True
35212;529;False
35309;530;True
35406;531;True
35406;532;False
35503;533;True
35503;534;False
35697;535;True
35697;536;False
35794;537;True
35891;538;True
35988;539;True
36085;540;True
36182;541;True
36279;542;True
36376;543;True
36376;544;False
36473;545;True
36570;546;True
36570;547;False
36667;548;True
36764;377;True
36764;549;False
37055;553;True
37055;554;False
37055;664;False
37152;556;True
37346;558;True
37443;559;True
37540;560;True
37734;563;True
37734;564;False
38025;571;True
38122;337;True
38316;573;True
38413;575;True
38413;576;False
38510;577;True
38995;1208;True
38995;585;False
39092;586;True
39189;587;True
39189;588;False
39383;590;True
39383;591;False
39480;592;True
39480;593;False
39480;594;False
39674;596;True
39771;597;True
39868;598;True
39965;599;True
